127.0.0.1 - - [30/May/2023:19:25:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2023:19:25:21 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 11519
0:0:0:0:0:0:0:1 - - [30/May/2023:19:25:21 +0900] "GET /JspStudy/finProj/assets/trip1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:19:25:21 +0900] "GET /JspStudy/finProj/assets/img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:19:25:21 +0900] "GET /JspStudy/finProj/assets/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:19:25:21 +0900] "GET /JspStudy/finProj/assets/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:19:25:21 +0900] "GET /JspStudy/finProj/assets/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:19:25:21 +0900] "GET /JspStudy/finProj/assets/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:19:25:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:19:26:23 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 11554
0:0:0:0:0:0:0:1 - - [30/May/2023:19:26:23 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 11554
0:0:0:0:0:0:0:1 - - [30/May/2023:19:26:24 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 11554
0:0:0:0:0:0:0:1 - - [30/May/2023:19:34:56 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 200 10457
0:0:0:0:0:0:0:1 - - [30/May/2023:19:35:03 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16802
0:0:0:0:0:0:0:1 - - [30/May/2023:19:35:28 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 200 12690
0:0:0:0:0:0:0:1 - - [30/May/2023:19:37:16 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 200 12690
0:0:0:0:0:0:0:1 - - [30/May/2023:19:38:06 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 500 3028
0:0:0:0:0:0:0:1 - - [30/May/2023:19:38:09 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 200 12690
0:0:0:0:0:0:0:1 - - [30/May/2023:19:38:10 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16802
0:0:0:0:0:0:0:1 - - [30/May/2023:19:38:30 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 500 3028
0:0:0:0:0:0:0:1 - - [30/May/2023:19:43:05 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 200 12650
0:0:0:0:0:0:0:1 - - [30/May/2023:19:43:07 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16759
0:0:0:0:0:0:0:1 - - [30/May/2023:19:43:07 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16759
0:0:0:0:0:0:0:1 - - [30/May/2023:19:43:08 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16759
0:0:0:0:0:0:0:1 - - [30/May/2023:19:43:08 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16759
0:0:0:0:0:0:0:1 - - [30/May/2023:19:43:08 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16759
0:0:0:0:0:0:0:1 - - [30/May/2023:19:43:24 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 200 12650
0:0:0:0:0:0:0:1 - - [30/May/2023:19:54:42 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 500 3699
0:0:0:0:0:0:0:1 - - [30/May/2023:19:54:47 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 500 3699
0:0:0:0:0:0:0:1 - - [30/May/2023:19:54:47 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16759
0:0:0:0:0:0:0:1 - - [30/May/2023:19:54:47 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16759
0:0:0:0:0:0:0:1 - - [30/May/2023:19:54:48 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16759
0:0:0:0:0:0:0:1 - - [30/May/2023:19:54:49 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16759
0:0:0:0:0:0:0:1 - - [30/May/2023:19:55:06 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 500 3699
0:0:0:0:0:0:0:1 - - [30/May/2023:19:56:21 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 500 3699
0:0:0:0:0:0:0:1 - - [30/May/2023:19:56:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:19:57:18 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16776
0:0:0:0:0:0:0:1 - - [30/May/2023:19:57:20 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16776
0:0:0:0:0:0:0:1 - - [30/May/2023:19:57:20 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16776
0:0:0:0:0:0:0:1 - - [30/May/2023:19:57:20 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16776
0:0:0:0:0:0:0:1 - - [30/May/2023:19:57:41 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 500 3028
0:0:0:0:0:0:0:1 - - [30/May/2023:20:00:05 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 500 2870
0:0:0:0:0:0:0:1 - - [30/May/2023:20:00:14 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:00:36 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 500 2870
0:0:0:0:0:0:0:1 - - [30/May/2023:20:04:32 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 500 4578
0:0:0:0:0:0:0:1 - - [30/May/2023:20:04:34 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 200 12650
0:0:0:0:0:0:0:1 - - [30/May/2023:20:04:37 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 500 6330
0:0:0:0:0:0:0:1 - - [30/May/2023:20:05:39 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 500 6361
0:0:0:0:0:0:0:1 - - [30/May/2023:20:05:39 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:05:40 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:05:40 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:05:41 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:05:41 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:05:41 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:05:42 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:05:43 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 500 6361
0:0:0:0:0:0:0:1 - - [30/May/2023:20:05:43 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:05:44 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:06:02 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 500 4608
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:03 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 500 4613
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:05 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 200 12650
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:07 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 500 6366
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:08 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:08 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:08 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:09 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:09 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:09 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:09 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:10 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:10 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:10 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:11 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 500 6366
0:0:0:0:0:0:0:1 - - [30/May/2023:20:07:11 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16784
0:0:0:0:0:0:0:1 - - [30/May/2023:20:09:52 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16776
0:0:0:0:0:0:0:1 - - [30/May/2023:20:09:52 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16776
0:0:0:0:0:0:0:1 - - [30/May/2023:20:10:10 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 500 3028
0:0:0:0:0:0:0:1 - - [30/May/2023:20:13:31 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 500 2896
0:0:0:0:0:0:0:1 - - [30/May/2023:20:14:48 +0900] "POST /JspStudy/finProj/result.jsp HTTP/1.1" 200 12647
0:0:0:0:0:0:0:1 - - [30/May/2023:20:14:49 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16757
0:0:0:0:0:0:0:1 - - [30/May/2023:20:15:25 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16756
0:0:0:0:0:0:0:1 - - [30/May/2023:20:15:26 +0900] "GET /JspStudy/finProj/main.jsp HTTP/1.1" 200 16756
