0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:31:43 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:31:46 +0900] "GET /JspStudy/CH07/sessionEx2/requestFormBoot.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:31:47 +0900] "GET /JspStudy/CH07/sessionEx2/requestFormBoot.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:31:48 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:31:49 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:34:08 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:34:08 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:34:09 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:34:11 +0900] "GET /JspStudy/CH07/sessionEx2/requestFormBoot.jsp HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:34:14 +0900] "POST /JspStudy/CH07/sessionEx2/requestProcBoot.jsp HTTP/1.1" 500 2529
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:35:08 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:35:09 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:35:09 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:35:10 +0900] "GET /JspStudy/CH07/sessionEx2/requestFormBoot.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:35:16 +0900] "POST /JspStudy/CH07/sessionEx2/requestProcBoot.jsp HTTP/1.1" 500 2529
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:35:41 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:35:42 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9597
